date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar (Malagasy),Malaysia,Mali,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-11,1.7307692307692308,0,0.0,95.66666666666666,0,0.0,0,0,0.0,0,3.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,184.0,31.0,0.0,0.0,0.0,0.0,0,0.0,2538.174868609651,0.0,34.060439560439555,0,0.0,0.0,0,0.0,34.27074649488442,0.0,0.0,0,0.0,0.0,103.06593406593407,0.0,0.0,4.120879120879121,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.16483516483516486,0.0,0.0,174.0,41.33333333333333,17.174525474525474,0.0,0.0,0,51.23626373626374,0.0,0.0,0.0,0.0,3.5240963855421685,0,84.0,73.0,0.0,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,0,140.0,19.74175824175824,0.0,2,262.7362637362637,856.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,16.03448275862069,0.0,0,5.0,0,0.0,7.0,0.0,20.0,0.0
1989-12,13.788461538461537,0,0.0,404.33333333333337,0,0.0,0,0,0.0,0,2.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0.0,326.54156712852364,0.0,3619.2291208791203,0,0.0,0.0,0,0.0,39.277472527472526,0.0,0.0,0,0.0,0.0,100.36813186813188,0.0,0.0,4.258241758241758,7.033333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.0,0,45.63333333333333,0.0,0.0,0.0,0,0.0,0.17032967032967034,2.0,0.0,0.0,41.65416666666667,315.0470096570096,0.0,0.0,0,36.527472527472526,0.0,0.0,15.0,1123.6666666666667,0.0,0,106.0,145.875,484.66666666666663,4.576923076923077,0.0,0.0,0.0,0.0,0.0,0,40.0,92.79981684981685,0.0,0,501.7774725274725,1267.3333333333335,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,0.0,0,2.0,0,0.0,1.0,0.0,0.0,0.0
1990-01,2.129120879120879,0,0.0,842.6428571428571,0,0.0,0,0,0.0,0,23.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,76.66666666666667,0.0,0.0,0.0,0.0,0.0,112.5,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,10707.666666666666,0,0.0,0.0,0,0.0,54.255945280209986,0.0,0.0,0,0.0,0.0,233.29832245049636,1.896153846153846,0.0,83.76666666666667,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,313.1393939393939,140.92105263157893,0,325.1682905488064,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,163.45820668693008,180.0805860805861,0.0,0.0,0,2.0,0.0,0.0,28.0,0.0,18.5,0,87.5,43.833333333333336,0.0,176.17131441617744,0.0,0.0,0.4258241758241758,0.0,0.0,0,153.2554945054945,54.66282051282051,0.0,1,180.0,1052.032967032967,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,9.0,0.0,0,3.0,0,0.0,12.0,0.0,0.0,0.0
1990-02,72.42307692307692,0,0.0,945.1666666666666,0,0.0,0,0,0.0,0,9.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,0.0,4498.266666666666,0,0.0,0.0,0,0.0,50.30224187577129,0.0,0.0,0,0.0,0.0,221.03653164870553,2.471794871794872,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.8484848484848485,486.9473684210526,0,29.586412968814397,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,138.84397163120568,291.5402229152229,0.0,5.0,0,0.0,0.0,0.0,92.5,0.0,29.14814814814815,0,49.83333333333333,264.4037037037037,0.0,2.429223744292237,0.0,0.0,0.3846153846153846,0.0,0.0,0,0.23076923076923078,60.57549857549858,0.0,0,29.0,731.7179487179487,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,29.0,188.2197802197802,0.0,0,0.0,0,0.0,11.0,0.0,0.0,0.0
1990-03,151.12912087912088,0,0.0,402.07142857142856,0,0.0,0,0,0.0,0,6.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.06,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,9548.864654449635,0,0.0,0.0,0,0.0,60.00002241519621,0.0,0.0,0,0.0,0.0,280.86788766788766,2.6294871794871795,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.939393939393945,171.0,0,64.28869284765699,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,120.17249240121579,149.8013068013068,0.0,0.0,0,27.333333333333332,0.0,0.0,16.0,0.0,0.0,0,84.33333333333333,198.95,0.0,22.51092628832355,0.0,0.0,0.4258241758241758,0.0,0.0,0,90.25549450549451,320.0294871794872,0.0,2,0.0,1867.6255596255596,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,129.63392857142856,0.0,0,5.066666666666666,0,0.0,8.0,0.0,0.0,0.0
1990-04,192.42407592407594,0,0.0,298.73809523809524,0,0.0,0,0,0.0,0,26.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.47435897435898,22.0,145.46,0.0,0.0,0.0,0.0,5.0,0,3.0,10.8,0.0,13473.41226494191,0,0.0,0.0,0,0.0,51.520600112592554,0.0,0.0,0,0.0,0.0,356.8504471487266,10.586759142496847,0.0,0.0,5.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.30303030303030304,92.0,0,120.76992522520753,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,93.90425531914893,220.12637362637363,0.0,7.0,0,22.0,0.0,0.0,29.0,0.0,0.0,0,294.5,332.3333333333333,0.0,2.602739726027397,0.0,0.0,2.412087912087912,0.0,0.0,0,31.647252747252747,101.74933687002653,0.0,1,0.0,81.55248200075788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,105.16666666666667,0.0,0,5.0,0,0.0,3.0344827586206895,0.0,0.0,0.0
1990-05,151.03821178821178,0,0.0,127.0,0,0.0,0,0,0.0,0,3.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,32.0,0.0,91.36666666666667,0.0,0.0,0.0,60.0,136.0,0,0.0,46.0,0.0,8458.371900826445,0,0.0,0.0,0,0.0,74.93335574852955,0.0,0.0,0,2.0,0.0,329.6668490529283,25.57101723413199,1.0,0.0,5.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,40.5,0,299.213692847657,0.0,0.0,0.0,0,0.0,1.0,1.0333333333333332,0.0,0.0,902.767730496454,9.747252747252748,0.0,0.0,2,0.0,400.0,0.0,168.5,0.0,0.0,0,10.0,125.0,0.0,2.689497716894977,0.0,0.0,4.425824175824176,0.0,0.0,0,0.2554945054945055,77.66282051282052,0.0,0,0.0,73.03296703296704,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,113.03333333333333,65.2,0.0,0,2.0,0,0.0,3.0666666666666664,0.0,4.133333333333333,0.0
1990-06,138.42407592407594,0,0.0,149.875,0,0.0,0,0,0.0,0,11.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,96.0,0.0,7320.637116801693,0,0.0,0.0,1,0.0,57.48611735397186,0.0,0.0,0,0.0,0.0,299.8497232694313,40.17528373266078,28.4,51.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0,88.6865918918742,0.0,0.0,0.0,0,12.032258064516128,0.0,0.0,0.0,0.0,80.90425531914893,5.626373626373627,0.0,0.0,0,0.0,0.0,0.0,37.333333333333336,0.0,0.0,0,146.0,53.0,0.0,202.26940639269407,0.0,0.0,4.4120879120879115,0.0,0.0,0,0.24725274725274726,24.714854111405835,0.0,3,1802.8,713.054945054945,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,158.0,0.0,0,3.0,0,0.0,11.034482758620689,0.0,1.0344827586206897,9.333333333333334
1990-07,145.53821178821178,0,0.0,67.14285714285714,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0,0.0,8.5,0.0,2000.0,0,0.0,0.0,0,0.0,54.77715740142211,0.0,0.0,0,0.0,0.0,308.57291917328416,46.780467571644046,8.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,222.72222222222223,0,1785.0886928476568,0.0,0.0,0.0,0,251.94285714285715,0.0,0.0,0.0,0.0,170.10010911074738,15.747252747252748,0.0,0.0,0,0.0,0.0,0.0,43.0,0.0,0.0,0,267.0,25.0,0.0,2.689497716894977,0.0,0.0,3.4258241758241756,0.0,0.0,0,15.255494505494507,67.62948717948717,0.0,0,1245.6666666666667,242.03296703296704,0,0.0,0.0,0.0,0.0,0.0,33.833333333333336,0.0,69.0,34.333333333333336,0.0,0,7.0,0,0.0,6.066666666666666,0.0,10.0,0.0
1990-08,2.129120879120879,0,0.0,65.4,0,0.0,0,0,0.0,0,6.0,0,0,0,0.0,0.0,0,0.0,0.0,7.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,80.5,0.0,829.25,0,0.0,0.0,0,0.0,53.74382406808878,0.0,0.0,0,0.0,0.0,201.98317558354054,0.5961538461538461,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1283.3651255267373,0.0,0.0,30.0,0,1553.338692847657,0.0,0.0,0.0,0,118.28571428571429,0.0,0.0,0.0,0.0,15.0,10.747252747252748,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.333333333333336,185.58279569892474,0.0,23.279264034380876,0.0,0.0,50.22582417582417,0.0,0.0,0,80.2554945054945,511.29615384615386,0.0,0,1106.6666666666667,136.03296703296704,0,0.0,0.0,0.0,1.0,0.0,10.333333333333334,0.0,54.142857142857146,91.53333333333333,0.0,0,0.0,0,0.0,2.0,0.0,0.0,0.0
